name,value,year,lastValue,rank
Nama Chemicals Co.,27.430172,2019,27.430172,0
Saudi Pharmaceutical Indust.& Med. Appliances Corp,28.398275,2019,28.398275,0
Arabian Pipes Company,10.403275,2019,10.403275,0
Saudi Basic Industries Corp.,122.310344,2019,122.310344,0
Saudia Dairy and Foodstuff Co.,102.765517,2019,102.765517,0
Saudi Arabia Fertilizers Co.,81.163793,2019,81.163793,0
Sahara Petrochemical Co.,15.80931,2019,15.80931,0
Saudi Arabia Refineries Co.,42.506896,2019,42.506896,0
Saudi Advanced Industries Co.,13.956896,2019,13.956896,0
Saudi Chemical Company,32.178448,2019,32.178448,0
Saudi Industrial Development Co.,8.487068,2019,8.487068,0
Savola Group,31.468103,2019,31.468103,0
Saudi Industrial Investment Group,23.889482,2019,23.889482,0
Saudi Industrial Services Co.,11.780689,2019,11.780689,0
Yanbu National Petrochemical Co.,68.537931,2019,68.537931,0
Zamil Industrial Investment Co.,18.304137,2019,18.304137,0
AlBaha Investment & Development Co.,21.606206,2019,21.606206,0
Arriyadh Development Co.,18.906206,2019,18.906206,0
"Aseer Trading, Tourism & Manufacturing Co",9.484655,2019,9.484655,0
Fitaihi Holding Group,11.015172,2019,11.015172,0
Dur Hospitality Company,19.489655,2019,19.489655,0
Jarir Marketing Co.,152.268965,2019,152.268965,0
Makkah Construction and Development Co.,76.591379,2019,76.591379,0
BATIC Investment and Logistics Co.,37.406896,2019,37.406896,0
Saudi Real Estate Co.,12.678275,2019,12.678275,0
Saudi Public Transport Co.,14.595172,2019,14.595172,0
Saudi Automotive Services Co.,16.151724,2019,16.151724,0
Saudi Industrial Export Co.,82.867241,2019,82.867241,0
Anaam International Holding Group Co.,12.998965,2019,12.998965,0
Tourism Enterprise Co.,31.569827,2019,31.569827,0
The National Shipping Company of Saudi Arabia,31.550862,2019,31.550862,0
Taiba Holding Co.,28.715517,2019,28.715517,0
National Agriculture Marketing Co.,25.198103,2019,25.198103,0
Tihama Advertising & Public Relations Co.,44.856896,2019,44.856896,0
Aldrees Petroleum & Transport Services Co.,28.56931,2019,28.56931,0
Saudi Research and Marketing Group,83.686206,2019,83.686206,0
Saudi International Petrochemical Co.,19.654137,2019,19.654137,0
Saudi Kayan Petrochemical Company,13.868275,2019,13.868275,0
Methanol Chemicals Company,9.762931,2019,9.762931,0
Rabigh Refining and Petrochemical Company,19.974827,2019,19.974827,0
Saudi Paper Manufacturing Co.,12.746206,2019,12.746206,0
Salama Cooperative Insurance Co.,16.164482,2019,16.164482,0
Alinma Bank,24.08931,2019,24.08931,0
United Cooperative Assurance Co.,11.784482,2019,11.784482,0
Emaar The Economic City,9.208793,2019,9.208793,0
Red Sea International Company,15.507241,2019,15.507241,0
Saudi Arabian Mining Company,54.238793,2019,54.238793,0
Hail Cement Co.,8.220517,2019,8.220517,0
United International Transportation Company Ltd.,28.851724,2019,28.851724,0
United Wire Factories Company,15.762413,2019,15.762413,0
Kingdom Holding Company,8.246206,2019,8.246206,0
Knowledge Economic City,9.515344,2019,9.515344,0
Al Rajhi Company for Cooperative Insurance,71.42931,2019,71.42931,0
 Al Alamiya Cooperative Insurance Company,33.189655,2019,33.189655,0
Allied Cooperative Insurance Group,21.512413,2019,21.512413,0
Bupa Arabia for Cooperative Insurance ,85.263793,2019,85.263793,0
Arabian Shield Cooperative Insurance Company,18.637241,2019,18.637241,0
Al Tayyar Travel Group Holding Co.,23.103448,2019,23.103448,0
Al Jouf Cement Company,7.960344,2019,7.960344,0
Northern Region Cement Co.,8.68931,2019,8.68931,0
BURUJ Cooperative Insurance Company,22.37431,2019,22.37431,0
Al-Babtain Power & Telecommunication Co.,20.778275,2019,20.778275,0
AlAbdullatif Industrial Investment Co.,11.594137,2019,11.594137,0
Abdullah Al Othaim Markets Company,68.531034,2019,68.531034,0
Middle East Specialized Cables Co.,12.079655,2019,12.079655,0
Fawaz Abdulaziz Alhokair Company.,21.884137,2019,21.884137,0
Halwani Bros,44.937931,2019,44.937931,0
Dar Al-Arkan Real Estate Development Company,10.13362,2019,10.13362,0
Jabal Omar Development Company,33.446551,2019,33.446551,0
National Petrochemical Co.,26.435172,2019,26.435172,0
Al Sagr Cooperative Insurance Co.,12.18,2019,12.18,0
Basic Chemical Industries Co.,22.964827,2019,22.964827,0
Malath Cooperative Insurance Company,11.86,2019,11.86,0
Solidarity Saudi Takaful Co.,16.203793,2019,16.203793,0
Saudi Printing and Packaging Company,16.489655,2019,16.489655,0
Advanced Petrochemical Co.,54.681896,2019,54.681896,0
Al-Etihad Cooperative Insurance Co.,26.061034,2019,26.061034,0
Walaa Cooperative Insurance Company,23.596551,2019,23.596551,0
Allianz Saudi Fransi Cooperative Insurance Company,30.23362,2019,30.23362,0
Al Ahlia for Cooperative Insurance Co.,11.744137,2019,11.744137,0
The Mediterranean and Gulf Insurance and Reinsurance Co.,15.564482,2019,15.564482,0
SABB Takaful ,17.356896,2019,17.356896,0
Saudi Arabian Cooperative Insurance Company,11.404137,2019,11.404137,0
Najran Cement Company,8.43,2019,8.43,0
Saudi Vitrified Clay Pipes Co.,49.844827,2019,49.844827,0
City Cement Co.,10.217241,2019,10.217241,0
Gulf Union Cooperative Insurance Company,13.965862,2019,13.965862,0
Mobile Telecommunications Company Saudi Arabia ,9.350862,2019,9.350862,0
Al Sorayai Trading And Industrial Group Company,13.76931,2019,13.76931,0
Astra Industrial Group,16.139655,2019,16.139655,0
Al Khaleej Training and Education Company,13.583793,2019,13.583793,0
Herfy Food Services Co.,48.555172,2019,48.555172,0
Saudi Re for Cooperative Reinsurance Co.,7.946034,2019,7.946034,0
Dallah Healthcare Company,50.793275,2019,50.793275,0
Arabia Insurance Cooperative Company,16.562413,2019,16.562413,0
ALAHLI TAKAFUL COMPANY,28.192241,2019,28.192241,0
AXA Cooperative Insurance Co.,22.933793,2019,22.933793,0
Chubb Arabia Cooperative Insurance  Company,18.54931,2019,18.54931,0
Mouwasat Medical Services Company.,77.112068,2019,77.112068,0
Saudi Steel Pipe Company,22.711551,2019,22.711551,0
Gulf General Cooperative Insurance Co.,13.03931,2019,13.03931,0
Al-Hassan Ghazi Ibrahim Shaker ,8.592931,2019,8.592931,0
Wataniya Insurance Company,23.71,2019,23.71,0
Amana Cooperative Insurance Co.,16.644827,2019,16.644827,0
Saudi Airlines Catering Company,84.381034,2019,84.381034,0
United Electronics Co.,61.494827,2019,61.494827,0
Abdullah A. M. Al-Khodari Sons Company,5.999482,2019,5.999482,0
Saudi Enaya Cooperative insurance Company,15.349655,2019,15.349655,0
Bawan Company,13.775172,2019,13.775172,0
Takween Advanced Industries,9.616034,2019,9.616034,0
Alinma Tokio Marine Co.,16.084827,2019,16.084827,0
National Medical Care Co.,47.334482,2019,47.334482,0
MetLife AIG ANB Cooperative Insurance Company.,22.173448,2019,22.173448,0
Aljazira Takaful Taawuni Company,17.956896,2019,17.956896,0
Saudi Marketing Company,17.013448,2019,17.013448,0
Umm Al-Qura Cement Company,11.93,2019,11.93,0
Abdulmohsen Alhokair group for Tourism and Development Co.,17.665172,2019,17.665172,0
The National Commercial Bank ,51.937068,2019,51.937068,0
Saudi Ground Services Co.,30.689655,2019,30.689655,0
Al Hammadi Company for Development and Investment,25.196206,2019,25.196206,0
Electrical Industries Company,17.561034,2019,17.561034,0
Middle East Paper Co.,20.472758,2019,20.472758,0
Saudi Company for Hardware,67.527586,2019,67.527586,0
Alandalus Property Company,14.533103,2019,14.533103,0
Middle East Healthcare Co.,31.809482,2019,31.809482,0
 L?Azurde For Jewelry Co.,16.202068,2019,16.202068,0
Al Yamamah Steel Industries Co.,15.544827,2019,15.544827,0
Leejam Sports Co.,61.903448,2019,61.903448,0
Riyad REIT,7.813965,2019,7.813965,0
AlJazira Mawten REIT,13.638275,2019,13.638275,0
 Jadwa REIT AlHaramain fund ,7.621034,2019,7.621034,0
Taleem REIT,10.177241,2019,10.177241,0
AlMa'athar REIT,7.921034,2019,7.921034,0
Zahrat Al Waha For Trading Company,41.801724,2019,41.801724,0
Musharaka REIT,8.079827,2019,8.079827,0
Mulkia - Gulf Real Estate REIT Fund,8.138448,2019,8.138448,0
Al Masha?ar REIT,6.993793,2019,6.993793,0
AlAhli REIT Fund 1,7.765689,2019,7.765689,0
SEDCO CAPITAL REIT Fund,7.66,2019,7.66,0
Derayah REIT ,8.147068,2019,8.147068,0
Al Rajhi REIT Fund,8.395172,2019,8.395172,0
SWICORP WABEL REIT,8.521551,2019,8.521551,0
Jadwa REIT Saudi Fund,8.650517,2019,8.650517,0
MEFIC REIT Fund,8.395517,2019,8.395517,0
Bonyan REITS Fund,8.549655,2019,8.549655,0
National Company for Learning & Education,22.246551,2019,22.246551,0
Alkhabeer REIT,10.42,2019,10.42,0
National Company for Learning & Education,20.200625,2018,20.200625,0
Bonyan REITS Fund,8.723457,2018,8.723457,0
MEFIC REIT Fund,8.361428,2018,8.361428,0
Jadwa REIT Saudi Fund,9.286227,2018,9.286227,0
SWICORP WABEL REIT,8.902626,2018,8.902626,0
Al Rajhi REIT Fund,8.480362,2018,8.480362,0
Derayah REIT ,8.111957,2018,8.111957,0
SEDCO CAPITAL REIT Fund,7.907914,2018,7.907914,0
AlAhli REIT Fund 1,8.349057,2018,8.349057,0
Al Masha?ar REIT,7.846398,2018,7.846398,0
Musharaka REIT,8.58767,2018,8.58767,0
Mulkia - Gulf Real Estate REIT Fund,8.198032,2018,8.198032,0
AlMa'athar REIT,7.943734,2018,7.943734,0
Zahrat Al Waha For Trading Company,42.376626,2018,42.376626,0
 Jadwa REIT AlHaramain fund ,8.544618,2018,8.544618,0
Taleem REIT,10.788192,2018,10.788192,0
Riyad REIT,8.671807,2018,8.671807,0
AlJazira Mawten REIT,14.859196,2018,14.859196,0
Al Yamamah Steel Industries Co.,19.131325,2018,19.131325,0
Leejam Sports Co.,52.351265,2018,52.351265,0
 L?Azurde For Jewelry Co.,17.366867,2018,17.366867,0
Middle East Healthcare Co.,49.163132,2018,49.163132,0
Alandalus Property Company,18.637791,2018,18.637791,0
Saudi Company for Hardware,69.016465,2018,69.016465,0
Electrical Industries Company,20.269638,2018,20.269638,0
Middle East Paper Co.,22.915943,2018,22.915943,0
Al Hammadi Company for Development and Investment,31.494859,2018,31.494859,0
Saudi Ground Services Co.,35.868594,2018,35.868594,0
The National Commercial Bank ,43.767991,2018,43.767991,0
Abdulmohsen Alhokair group for Tourism and Development Co.,20.766024,2018,20.766024,0
Umm Al-Qura Cement Company,13.978995,2018,13.978995,0
Aljazira Takaful Taawuni Company,21.722369,2018,21.722369,0
Saudi Marketing Company,20.385943,2018,20.385943,0
MetLife AIG ANB Cooperative Insurance Company.,22.174412,2018,22.174412,0
National Medical Care Co.,51.230843,2018,51.230843,0
Alinma Tokio Marine Co.,20.614417,2018,20.614417,0
Takween Advanced Industries,10.160763,2018,10.160763,0
Bawan Company,16.01522,2018,16.01522,0
Saudi Enaya Cooperative insurance Company,14.798218,2018,14.798218,0
Abdullah A. M. Al-Khodari Sons Company,8.150277,2018,8.150277,0
United Electronics Co.,53.185943,2018,53.185943,0
Saudi Airlines Catering Company,85.361887,2018,85.361887,0
Amana Cooperative Insurance Co.,14.696867,2018,14.696867,0
Wataniya Insurance Company,26.134538,2018,26.134538,0
Al-Hassan Ghazi Ibrahim Shaker ,9.956144,2018,9.956144,0
Gulf General Cooperative Insurance Co.,15.446104,2018,15.446104,0
Saudi Steel Pipe Company,19.076827,2018,19.076827,0
Chubb Arabia Cooperative Insurance  Company,21.542088,2018,21.542088,0
Mouwasat Medical Services Company.,85.35273,2018,85.35273,0
AXA Cooperative Insurance Co.,23.621004,2018,23.621004,0
ALAHLI TAKAFUL COMPANY,28.924819,2018,28.924819,0
Arabia Insurance Cooperative Company,18.478795,2018,18.478795,0
Etihad Atheeb Telecommunication  Company,6.610495,2018,6.610495,0
Dallah Healthcare Company,67.416666,2018,67.416666,0
Saudi Re for Cooperative Reinsurance Co.,8.182712,2018,8.182712,0
Herfy Food Services Co.,45.701686,2018,45.701686,0
Al Khaleej Training and Education Company,15.179718,2018,15.179718,0
Astra Industrial Group,17.314377,2018,17.314377,0
Al Sorayai Trading And Industrial Group Company,13.779112,2018,13.779112,0
Mobile Telecommunications Company Saudi Arabia ,6.811767,2018,6.811767,0
Gulf Union Cooperative Insurance Company,15.348674,2018,15.348674,0
City Cement Co.,10.624337,2018,10.624337,0
Saudi Vitrified Clay Pipes Co.,50.714337,2018,50.714337,0
Najran Cement Company,8.920763,2018,8.920763,0
Saudi Arabian Cooperative Insurance Company,14.075622,2018,14.075622,0
SABB Takaful ,20.640682,2018,20.640682,0
Saudi Indian Company for Cooperative Insurance,16.562904,2018,16.562904,0
The Mediterranean and Gulf Insurance and Reinsurance Co.,17.168117,2018,17.168117,0
Al Ahlia for Cooperative Insurance Co.,11.296224,2018,11.296224,0
Allianz Saudi Fransi Cooperative Insurance Company,29.220562,2018,29.220562,0
Walaa Cooperative Insurance Company,26.967096,2018,26.967096,0
Al-Etihad Cooperative Insurance Co.,22.684497,2018,22.684497,0
Advanced Petrochemical Co.,50.384457,2018,50.384457,0
Saudi Printing and Packaging Company,18.310602,2018,18.310602,0
Solidarity Saudi Takaful Co.,19.209437,2018,19.209437,0
Malath Cooperative Insurance Company,14.377228,2018,14.377228,0
Basic Chemical Industries Co.,23.051204,2018,23.051204,0
Al Sagr Cooperative Insurance Co.,14.399156,2018,14.399156,0
Jabal Omar Development Company,43.876907,2018,43.876907,0
National Petrochemical Co.,25.594337,2018,25.594337,0
Dar Al-Arkan Real Estate Development Company,10.369718,2018,10.369718,0
Halwani Bros,50.779638,2018,50.779638,0
Fawaz Abdulaziz Alhokair Company.,25.396144,2018,25.396144,0
Middle East Specialized Cables Co.,12.071659,2018,12.071659,0
Abdullah Al Othaim Markets Company,72.303052,2018,72.303052,0
AlAbdullatif Industrial Investment Co.,12.329116,2018,12.329116,0
Al-Babtain Power & Telecommunication Co.,24.59012,2018,24.59012,0
BURUJ Cooperative Insurance Company,24.52008,2018,24.52008,0
Northern Region Cement Co.,9.392771,2018,9.392771,0
Al Jouf Cement Company,9.250441,2018,9.250441,0
Al Tayyar Travel Group Holding Co.,25.14502,2018,25.14502,0
Arabian Shield Cooperative Insurance Company,24.574257,2018,24.574257,0
Bupa Arabia for Cooperative Insurance ,64.999116,2018,64.999116,0
Allied Cooperative Insurance Group,18.407951,2018,18.407951,0
 Al Alamiya Cooperative Insurance Company,29.651566,2018,29.651566,0
Al Rajhi Company for Cooperative Insurance,64.360722,2018,64.360722,0
Knowledge Economic City,11.412971,2018,11.412971,0
Kingdom Holding Company,8.657028,2018,8.657028,0
United Wire Factories Company,15.856586,2018,15.856586,0
United International Transportation Company Ltd.,30.756586,2018,30.756586,0
Hail Cement Co.,8.729036,2018,8.729036,0
Saudi Arabian Mining Company,52.784056,2018,52.784056,0
Red Sea International Company,17.079598,2018,17.079598,0
Emaar The Economic City,11.355381,2018,11.355381,0
Alinma Bank,21.016144,2018,21.016144,0
United Cooperative Assurance Co.,13.356356,2018,13.356356,0
Salama Cooperative Insurance Co.,21.84269,2018,21.84269,0
Saudi Paper Manufacturing Co.,14.249352,2018,14.249352,0
Rabigh Refining and Petrochemical Company,23.802449,2018,23.802449,0
Methanol Chemicals Company,10.41261,2018,10.41261,0
Saudi Kayan Petrochemical Company,14.573895,2018,14.573895,0
Saudi International Petrochemical Co.,20.711566,2018,20.711566,0
Saudi Research and Marketing Group,88.890562,2018,88.890562,0
Aldrees Petroleum & Transport Services Co.,23.823453,2018,23.823453,0
Tihama Advertising & Public Relations Co.,44.992329,2018,44.992329,0
National Agriculture Marketing Co.,28.965412,2018,28.965412,0
Taiba Holding Co.,30.997389,2018,30.997389,0
Tourism Enterprise Co.,31.777309,2018,31.777309,0
The National Shipping Company of Saudi Arabia,31.019116,2018,31.019116,0
Anaam International Holding Group Co.,12.326947,2018,12.326947,0
Saudi Industrial Export Co.,59.50506,2018,59.50506,0
Saudi Automotive Services Co.,15.844879,2018,15.844879,0
Saudi Public Transport Co.,14.86273,2018,14.86273,0
Saudi Real Estate Co.,12.944899,2018,12.944899,0
BATIC Investment and Logistics Co.,41.445943,2018,41.445943,0
Makkah Construction and Development Co.,79.949076,2018,79.949076,0
Jarir Marketing Co.,134.741084,2018,134.741084,0
Dur Hospitality Company,19.812208,2018,19.812208,0
Fitaihi Holding Group,11.846224,2018,11.846224,0
"Aseer Trading, Tourism & Manufacturing Co",11.007751,2018,11.007751,0
Arriyadh Development Co.,18.043895,2018,18.043895,0
AlBaha Investment & Development Co.,19.864939,2018,19.864939,0
Zamil Industrial Investment Co.,22.550361,2018,22.550361,0
Yanbu National Petrochemical Co.,69.405823,2018,69.405823,0
Saudi Industrial Services Co.,12.917911,2018,12.917911,0
Saudi Industrial Investment Group,24.916425,2018,24.916425,0
Savola Group,34.981927,2018,34.981927,0
Saudi Industrial Development Co.,8.922128,2018,8.922128,0
Saudi Chemical Company,33.029518,2018,33.029518,0
Saudi Advanced Industries Co.,13.052811,2018,13.052811,0
Saudi Arabia Refineries Co.,39.913293,2018,39.913293,0
Sahara Petrochemical Co.,17.212329,2018,17.212329,0
Saudi Arabia Fertilizers Co.,70.291967,2018,70.291967,0
Saudia Dairy and Foodstuff Co.,101.423975,2018,101.423975,0
Saudi Basic Industries Corp.,118.297991,2018,118.297991,0
Arabian Pipes Company,11.431445,2018,11.431445,0
Saudi Pharmaceutical Indust.& Med. Appliances Corp,30.600441,2018,30.600441,0
Nama Chemicals Co.,24.02763,2018,24.02763,0
National Metal Manufacturing and Casting Co.,18.595381,2018,18.595381,0
National Industrialization Co. - NIC ,18.956224,2018,18.956224,0
National Gypsum Company,12.707831,2018,12.707831,0
The National Company For Glass Industries,19.596144,2018,19.596144,0
National Gas & Industrialization Co.,29.232128,2018,29.232128,0
Wafrah for Industry & Development Co.,16.50553,2018,16.50553,0
Filling and Packing Materials Manufacturing Co.,33.997148,2018,33.997148,0
Saudi Ceramic Co.,20.048313,2018,20.048313,0
Saudi Cable Company,31.484198,2018,31.484198,0
Alujain Corporation,25.73508,2018,25.73508,0
Saudi Arabian Amiantit Co.,6.824337,2018,6.824337,0
Almarai Company,53.205261,2018,53.205261,0
Al Ahsa Development Co.,10.931084,2018,10.931084,0
Yanbu Cement Co.,26.958473,2018,26.958473,0
Yamama Cement Company,15.32269,2018,15.32269,0
Tabuk Cement Co.,12.950843,2018,12.950843,0
Southern Province Cement Co.,40.769518,2018,40.769518,0
Saudi Cement Company,47.793413,2018,47.793413,0
The Qassim Cement Company,38.731767,2018,38.731767,0
Eastern Province Cement Co.,23.397349,2018,23.397349,0
Arabian Cement Co.,27.581606,2018,27.581606,0
The Saudi Investment Bank,17.027911,2018,17.027911,0
Alawwal Bank,13.744032,2018,13.744032,0
Banque Saudi Fransi,31.90518,2018,31.90518,0
Samba Financial Group,28.937831,2018,28.937831,0
The Saudi British Bank,31.438991,2018,31.438991,0
Riyad Bank,15.610361,2018,15.610361,0
Bank Aljazira,13.596827,2018,13.596827,0
Arab National Bank,30.903052,2018,30.903052,0
Bank Albilad,23.728674,2018,23.728674,0
Al Rajhi Bank,81.886345,2018,81.886345,0
Jazan Energy and Development Co.,15.864136,2018,15.864136,0
Al-Jouf Agricultural Development Co.,25.836867,2018,25.836867,0
Ash-Sharqiyah Development Co.,49.056867,2018,49.056867,0
Saudi Fisheries Co.,51.619757,2018,51.619757,0
Tabuk Agricultural Development Co.,11.210642,2018,11.210642,0
AL Gassim Investment Holding Co.,11.681807,2018,11.681807,0
National Agricultural Development Co.,32.466506,2018,32.466506,0
The Company for Cooperative Insurance,67.31273,2018,67.31273,0
Saudi Electricity Company,18.915381,2018,18.915381,0
Etihad Etisalat Co.,17.227831,2018,17.227831,0
Saudi Telecom,82.30518,2018,82.30518,0
Etihad Etisalat Co.,18.907228,2017,18.907228,0
Saudi Telecom,69.694297,2017,69.694297,0
Saudi Electricity Company,23.3451,2017,23.3451,0
The Company for Cooperative Insurance,94.319759,2017,94.319759,0
National Agricultural Development Co.,28.186626,2017,28.186626,0
AL Gassim Investment Holding Co.,13.473654,2017,13.473654,0
Tabuk Agricultural Development Co.,12.553534,2017,12.553534,0
Saudi Fisheries Co.,59.183052,2017,59.183052,0
Ash-Sharqiyah Development Co.,41.885702,2017,41.885702,0
Al-Jouf Agricultural Development Co.,29.629196,2017,29.629196,0
Jazan Energy and Development Co.,15.138634,2017,15.138634,0
Al Rajhi Bank,64.171044,2017,64.171044,0
Bank Albilad,18.927991,2017,18.927991,0
Arab National Bank,21.995742,2017,21.995742,0
Bank Aljazira,10.797269,2017,10.797269,0
Riyad Bank,11.063212,2017,11.063212,0
The Saudi British Bank,24.344658,2017,24.344658,0
Samba Financial Group,22.824939,2017,22.824939,0
Banque Saudi Fransi,27.626706,2017,27.626706,0
Alawwal Bank,11.620401,2017,11.620401,0
The Saudi Investment Bank,13.683132,2017,13.683132,0
Arabian Cement Co.,35.642088,2017,35.642088,0
Eastern Province Cement Co.,26.232329,2017,26.232329,0
The Qassim Cement Company,49.33755,2017,49.33755,0
Saudi Cement Company,50.863935,2017,50.863935,0
Southern Province Cement Co.,55.147068,2017,55.147068,0
Tabuk Cement Co.,11.954136,2017,11.954136,0
Yamama Cement Company,17.617791,2017,17.617791,0
Yanbu Cement Co.,31.55257,2017,31.55257,0
Al Ahsa Development Co.,13.046425,2017,13.046425,0
Almarai Company,58.792449,2017,58.792449,0
Saudi Arabian Amiantit Co.,6.699076,2017,6.699076,0
Alujain Corporation,21.370515,2017,21.370515,0
Saudi Cable Company,40.778571,2017,40.778571,0
Saudi Ceramic Co.,23.193493,2017,23.193493,0
Filling and Packing Materials Manufacturing Co.,34.111445,2017,34.111445,0
Wafrah for Industry & Development Co.,22.296104,2017,22.296104,0
National Gas & Industrialization Co.,32.88269,2017,32.88269,0
The National Company For Glass Industries,20.047349,2017,20.047349,0
National Gypsum Company,12.770481,2017,12.770481,0
National Industrialization Co. - NIC ,15.445823,2017,15.445823,0
National Metal Manufacturing and Casting Co.,21.968755,2017,21.968755,0
Nama Chemicals Co.,19.219469,2017,19.219469,0
Saudi Pharmaceutical Indust.& Med. Appliances Corp,34.05253,2017,34.05253,0
Arabian Pipes Company,14.220281,2017,14.220281,0
Saudi Basic Industries Corp.,98.513855,2017,98.513855,0
Saudia Dairy and Foodstuff Co.,124.014417,2017,124.014417,0
Saudi Arabia Fertilizers Co.,65.20016,2017,65.20016,0
Sahara Petrochemical Co.,14.240923,2017,14.240923,0
Saudi Arabia Refineries Co.,33.780803,2017,33.780803,0
Saudi Advanced Industries Co.,12.928514,2017,12.928514,0
Saudi Chemical Company,34.888795,2017,34.888795,0
Saudi Industrial Development Co.,10.756947,2017,10.756947,0
Savola Group,42.037991,2017,42.037991,0
Saudi Industrial Investment Group,19.893453,2017,19.893453,0
Saudi Industrial Services Co.,12.066224,2017,12.066224,0
Yanbu National Petrochemical Co.,56.592248,2017,56.592248,0
Zamil Industrial Investment Co.,27.755582,2017,27.755582,0
AlBaha Investment & Development Co.,24.704,2017,24.704,0
Arriyadh Development Co.,19.687068,2017,19.687068,0
"Aseer Trading, Tourism & Manufacturing Co",15.773614,2017,15.773614,0
Fitaihi Holding Group,12.818313,2017,12.818313,0
Dur Hospitality Company,20.499518,2017,20.499518,0
Jarir Marketing Co.,104.638273,2017,104.638273,0
Makkah Construction and Development Co.,90.974176,2017,90.974176,0
BATIC Investment and Logistics Co.,45.294457,2017,45.294457,0
Saudi Real Estate Co.,10.591084,2017,10.591084,0
Saudi Public Transport Co.,14.628915,2017,14.628915,0
Saudi Automotive Services Co.,16.374578,2017,16.374578,0
Saudi Industrial Export Co.,58.859838,2017,58.859838,0
Anaam International Holding Group Co.,16.352208,2017,16.352208,0
The National Shipping Company of Saudi Arabia,34.163012,2017,34.163012,0
Tourism Enterprise Co.,29.875461,2017,29.875461,0
Taiba Holding Co.,40.641566,2017,40.641566,0
National Agriculture Marketing Co.,34.000361,2017,34.000361,0
Tihama Advertising & Public Relations Co.,43.871285,2017,43.871285,0
Aldrees Petroleum & Transport Services Co.,22.461485,2017,22.461485,0
Saudi Research and Marketing Group,46.16522,2017,46.16522,0
Saudi International Petrochemical Co.,16.019116,2017,16.019116,0
Saudi Kayan Petrochemical Company,8.749196,2017,8.749196,0
Methanol Chemicals Company,7.130682,2017,7.130682,0
Rabigh Refining and Petrochemical Company,12.96771,2017,12.96771,0
Saudi Paper Manufacturing Co.,15.49012,2017,15.49012,0
Salama Cooperative Insurance Co.,18.350562,2017,18.350562,0
United Cooperative Assurance Co.,17.160682,2017,17.160682,0
Alinma Bank,15.891164,2017,15.891164,0
Emaar The Economic City,15.376987,2017,15.376987,0
Red Sea International Company,22.275502,2017,22.275502,0
Saudi Arabian Mining Company,46.11763,2017,46.11763,0
Hail Cement Co.,9.999558,2017,9.999558,0
United International Transportation Company Ltd.,23.885662,2017,23.885662,0
United Wire Factories Company,19.65751,2017,19.65751,0
Kingdom Holding Company,10.241204,2017,10.241204,0
Knowledge Economic City,15.837871,2017,15.837871,0
Al Rajhi Company for Cooperative Insurance,51.52004,2017,51.52004,0
 Al Alamiya Cooperative Insurance Company,25.582088,2017,25.582088,0
Allied Cooperative Insurance Group,15.255903,2017,15.255903,0
Bupa Arabia for Cooperative Insurance ,77.959839,2017,77.959839,0
Arabian Shield Cooperative Insurance Company,32.565622,2017,32.565622,0
Al Tayyar Travel Group Holding Co.,31.887911,2017,31.887911,0
